# Command: adb -s [REDACTED_IP]:3268 shell sh -c getprop | grep -E "^\[(ro\.boot|ro\.build|ro\.product|sys\.boot)"
# Collected UTC: 2026-07-15T09:53:02Z
# Timeout: 90s

[ro.boot.baseband]: [N/A]
[ro.boottime.init.mount.cust]: [6]
[ro.boottime.init.mount.data]: [39]
[ro.boottime.init.mount.logo]: [5]
[ro.boottime.init.mount_all.early]: [453]
[ro.boottime.init.mount_all.late]: [441]
[ro.boottime.init.selinux]: [439424169]
[ro.boottime.installd]: [12597897536]
[ro.boottime.keystore2]: [7323328173]
[ro.boottime.lmkd]: [6646306480]
[ro.boottime.logd]: [6636627229]
[ro.boottime.logd-auditctl]: [48271388620]
[ro.boottime.logd-reinit]: [10477990198]
[ro.boottime.mdnsd]: [18835948163]
[ro.boottime.media]: [12671248502]
[ro.boottime.media.swcodec]: [12815950183]
[ro.boottime.mediaextractor]: [12632693665]
[ro.boottime.mediametrics]: [12661363334]
[ro.boottime.netd]: [11342937702]
[ro.boottime.odsign]: [10176564918]
[ro.boottime.preinstall]: [49028583946]
[ro.boottime.rockchip.drmservice]: [12734919342]
[ro.boottime.rockchip_udc_detector]: [6742626490]
[ro.boottime.servicemanager]: [6655283397]
[ro.boottime.statsd]: [11332527242]
[ro.boottime.storaged]: [12683094253]
[ro.boottime.surfaceflinger]: [7417518724]
[ro.boottime.system_suspend]: [7315297714]
[ro.boottime.tee-supplicant]: [7306620046]
[ro.boottime.testgamma]: [47811645198]
[ro.boottime.tombstoned]: [8262713392]
[ro.boottime.ueventd]: [5268062633]
[ro.boottime.up_eth0]: [12560486032]
[ro.boottime.usbd]: [18859618082]
[ro.boottime.vendor.audio-hal]: [11476777424]
[ro.boottime.vendor.bluetooth-1-0]: [11486492841]
[ro.boottime.vendor.camera-provider-2-4]: [11523034595]
[ro.boottime.vendor.camera-provider-2-4-ext]: [11501906551]
[ro.boottime.vendor.gatekeeper-1-0]: [11538649263]
[ro.boottime.vendor.gralloc-4-0]: [9320918957]
[ro.boottime.vendor.hwcomposer-2-1]: [9688556661]
[ro.boottime.vendor.insmod_sh]: [5829710023]
[ro.boottime.vendor.keymint-default]: [6687753776]
[ro.boottime.vendor.light-rockchip]: [11683926694]
[ro.boottime.vendor.media.omx]: [12719613840]
[ro.boottime.vendor.move_data_sh]: [18931053673]
[ro.boottime.vendor.power-aidl-rockchip]: [11716264073]
[ro.boottime.vendor.rockit-hal-1-0]: [11760716994]
[ro.boottime.vendor.sensors-hal-1-0]: [11610191895]
[ro.boottime.vendor.weaver-hal-1-0]: [11640738732]
[ro.boottime.vendor.wifi_hal_legacy]: [11653945983]
[ro.boottime.vendor_flash_recovery]: [12746893718]
[ro.boottime.vndservicemanager]: [6672166524]
[ro.boottime.vold]: [6734418697]
[ro.boottime.wificond]: [12710079547]
[ro.boottime.wpa_supplicant]: [44006300441]
[ro.boottime.zygote]: [11351636078]
[ro.build.characteristics]: [tablet]
[ro.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.build.date.utc]: [1764829536]
[ro.build.description]: [rk3326_sgo-userdebug 12 SQ3A.220705.003.A1 eng.20251204.142604 release-keys]
[ro.build.display.id]: [rk3326_sgo-userdebug 12 SQ3A.220705.003.A1 eng.20251204.142604 release-keys]
[ro.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/eng.20251204.142604:userdebug/release-keys]
[ro.build.flavor]: [rk3326_sgo-userdebug]
[ro.build.host]: [txczhost2]
[ro.build.id]: [SQ3A.220705.003.A1]
[ro.build.product]: [rk3326_sgo]
[ro.build.shutdown_timeout]: [6000]
[ro.build.tags]: [release-keys]
[ro.build.txcz.fingerprint]: [YYZK-GAME-327_eng.20251204.142604-V1.0]
[ro.build.type]: [userdebug]
[ro.build.user]: [txcz]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: []
[ro.build.version.codename]: [REL]
[ro.build.version.incremental]: [eng.20251204.142604]
[ro.build.version.min_supported_target_sdk]: [23]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.preview_sdk_fingerprint]: [REL]
[ro.build.version.release]: [12]
[ro.build.version.release_or_codename]: [12]
[ro.build.version.sdk]: [32]
[ro.build.version.security_patch]: [2022-07-05]
[ro.product.board]: [rk30sdk]
[ro.product.bootimage.brand]: [Google]
[ro.product.bootimage.device]: [rk3326_sgo]
[ro.product.bootimage.manufacturer]: [Google]
[ro.product.bootimage.model]: [rk3326_sgo]
[ro.product.bootimage.name]: [rk3326_sgo]
[ro.product.brand]: [Google]
[ro.product.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.product.build.date.utc]: [1764829536]
[ro.product.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.product.build.id]: [SQ3A.220705.003.A1]
[ro.product.build.tags]: [release-keys]
[ro.product.build.type]: [userdebug]
[ro.product.build.version.incremental]: [eng.20251204.142604]
[ro.product.build.version.release]: [12]
[ro.product.build.version.release_or_codename]: [12]
[ro.product.build.version.sdk]: [32]
[ro.product.cpu.abi]: [armeabi-v7a]
[ro.product.cpu.abi2]: [armeabi]
[ro.product.cpu.abilist]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist64]: []
[ro.product.debugfs_restrictions.enabled]: [true]
[ro.product.device]: [rk3326_sgo]
[ro.product.first_api_level]: [31]
[ro.product.manufacturer]: [Google]
[ro.product.model]: [rk3326_sgo]
[ro.product.name]: [rk3326_sgo]
[ro.product.odm.brand]: [Google]
[ro.product.odm.device]: [rk3326_sgo]
[ro.product.odm.manufacturer]: [Google]
[ro.product.odm.model]: [rk3326_sgo]
[ro.product.odm.name]: [rk3326_sgo]
[ro.product.odm_dlkm.brand]: [Google]
[ro.product.odm_dlkm.device]: [rk3326_sgo]
[ro.product.odm_dlkm.manufacturer]: [Google]
[ro.product.odm_dlkm.model]: [rk3326_sgo]
[ro.product.odm_dlkm.name]: [rk3326_sgo]
[ro.product.ota.host]: [[REDACTED_IP]:8888]
[ro.product.payload.name]: [newboard]
[ro.product.product.brand]: [Google]
[ro.product.product.device]: [rk3326_sgo]
[ro.product.product.manufacturer]: [Google]
[ro.product.product.model]: [rk3326_sgo]
[ro.product.product.name]: [rk3326_sgo]
[ro.product.system.brand]: [Google]
[ro.product.system.device]: [rk3326_sgo]
[ro.product.system.manufacturer]: [Google]
[ro.product.system.model]: [rk3326_sgo]
[ro.product.system.name]: [rk3326_sgo]
[ro.product.system_ext.brand]: [Google]
[ro.product.system_ext.device]: [rk3326_sgo]
[ro.product.system_ext.manufacturer]: [Google]
[ro.product.system_ext.model]: [rk3326_sgo]
[ro.product.system_ext.name]: [rk3326_sgo]
[ro.product.usbfactory]: [rockchip_usb]
[ro.product.vendor.brand]: [Google]
[ro.product.vendor.device]: [rk3326_sgo]
[ro.product.vendor.manufacturer]: [Google]
[ro.product.vendor.model]: [rk3326_sgo]
[ro.product.vendor.name]: [rk3326_sgo]
[ro.product.vendor_dlkm.brand]: [Google]
[ro.product.vendor_dlkm.device]: [rk3326_sgo]
[ro.product.vendor_dlkm.manufacturer]: [Google]
[ro.product.vendor_dlkm.model]: [rk3326_sgo]
[ro.product.vendor_dlkm.name]: [rk3326_sgo]
[ro.product.version]: [1.0.0]
[ro.product.vndk.version]: [32]
[sys.boot.reason]: [reboot,fastboot]
[sys.boot.reason.last]: [reboot,fastboot]
[sys.boot_completed]: [1]
[sys.bootstat.first_boot_completed]: [1]
[sys.bootvideo.closed]: [1]
