# Command: adb -s [REDACTED_IP]:3268 shell getprop
# Collected UTC: 2026-07-15T09:52:21Z
# Timeout: 90s

[init.svc.logd-auditctl]: [stopped]
[init.svc.logd-reinit]: [stopped]
[init.svc.mdnsd]: [running]
[init.svc.media]: [running]
[init.svc.media.swcodec]: [running]
[init.svc.mediadrm]: [running]
[init.svc.mediaextractor]: [running]
[init.svc.mediametrics]: [running]
[init.svc.netd]: [running]
[init.svc.odsign]: [stopped]
[init.svc.preinstall]: [stopped]
[init.svc.rockchip.drmservice]: [stopped]
[init.svc.rockchip_udc_detector]: [stopped]
[init.svc.servicemanager]: [running]
[init.svc.statsd]: [running]
[init.svc.storaged]: [running]
[init.svc.surfaceflinger]: [running]
[init.svc.system_suspend]: [running]
[init.svc.tee-supplicant]: [running]
[init.svc.testgamma]: [stopped]
[init.svc.tombstoned]: [running]
[init.svc.ueventd]: [running]
[init.svc.up_eth0]: [stopped]
[init.svc.usbd]: [stopped]
[init.svc.vendor.audio-hal]: [running]
[init.svc.vendor.bluetooth-1-0]: [running]
[init.svc.vendor.camera-provider-2-4]: [running]
[init.svc.vendor.camera-provider-2-4-ext]: [running]
[init.svc.vendor.gatekeeper-1-0]: [running]
[init.svc.vendor.gralloc-4-0]: [running]
[init.svc.vendor.hwcomposer-2-1]: [running]
[init.svc.vendor.insmod_sh]: [stopped]
[init.svc.vendor.keymint-default]: [running]
[init.svc.vendor.light-rockchip]: [running]
[init.svc.vendor.media.omx]: [running]
[init.svc.vendor.move_data_sh]: [stopped]
[init.svc.vendor.power-aidl-rockchip]: [running]
[init.svc.vendor.rockit-hal-1-0]: [running]
[init.svc.vendor.sensors-hal-1-0]: [running]
[init.svc.vendor.weaver-hal-1-0]: [running]
[init.svc.vendor.wifi_hal_legacy]: [running]
[init.svc.vendor_flash_recovery]: [stopped]
[init.svc.vndservicemanager]: [running]
[init.svc.vold]: [running]
[init.svc.wificond]: [running]
[init.svc.wpa_supplicant]: [running]
[init.svc.zygote]: [running]
[init.svc_debug_pid.adbd]: [3177]
[init.svc_debug_pid.android-hardware-media-c2-hal-1-1]: [282]
[init.svc_debug_pid.apexd]: []
[init.svc_debug_pid.apexd-bootstrap]: []
[init.svc_debug_pid.apexd-snapshotde]: []
[init.svc_debug_pid.audioserver]: [292]
[init.svc_debug_pid.bootanim]: []
[init.svc_debug_pid.boringssl_self_test32]: []
[init.svc_debug_pid.boringssl_self_test32_vendor]: []
[init.svc_debug_pid.boringssl_self_test_apex32]: []
[init.svc_debug_pid.bpfloader]: []
[init.svc_debug_pid.cameraserver]: [322]
[init.svc_debug_pid.credstore]: [293]
[init.svc_debug_pid.daemon12138]: [848]
[init.svc_debug_pid.derive_classpath]: []
[init.svc_debug_pid.derive_sdk]: []
[init.svc_debug_pid.drm]: [320]
[init.svc_debug_pid.dump_kernel_panic]: []
[init.svc_debug_pid.gatekeeperd]: [406]
[init.svc_debug_pid.gpu]: [294]
[init.svc_debug_pid.health-hal-2-1]: [281]
[init.svc_debug_pid.heapprofd]: []
[init.svc_debug_pid.hidl_memory]: [272]
[init.svc_debug_pid.hwservicemanager]: [133]
[init.svc_debug_pid.idmap2d]: []
[init.svc_debug_pid.incidentd]: [324]
[init.svc_debug_pid.installd]: [325]
[init.svc_debug_pid.keystore2]: [166]
[init.svc_debug_pid.lmkd]: [131]
[init.svc_debug_pid.logcatd]: []
[init.svc_debug_pid.logd]: [130]
[init.svc_debug_pid.logd-auditctl]: []
[init.svc_debug_pid.logd-reinit]: []
[init.svc_debug_pid.mdnsd]: [405]
[init.svc_debug_pid.media]: [331]
[init.svc_debug_pid.media.swcodec]: [344]
[init.svc_debug_pid.mediaextractor]: [326]
[init.svc_debug_pid.mediametrics]: [327]
[init.svc_debug_pid.netd]: [267]
[init.svc_debug_pid.odsign]: []
[init.svc_debug_pid.preinstall]: []
[init.svc_debug_pid.rockchip.drmservice]: []
[init.svc_debug_pid.rockchip_udc_detector]: []
[init.svc_debug_pid.servicemanager]: [132]
[init.svc_debug_pid.statsd]: [266]
[init.svc_debug_pid.storaged]: [334]
[init.svc_debug_pid.surfaceflinger]: [172]
[init.svc_debug_pid.system_suspend]: [165]
[init.svc_debug_pid.tee-supplicant]: [164]
[init.svc_debug_pid.testgamma]: []
[init.svc_debug_pid.tombstoned]: [195]
[init.svc_debug_pid.ueventd]: [118]
[init.svc_debug_pid.up_eth0]: []
[init.svc_debug_pid.usbd]: []
[init.svc_debug_pid.vendor.audio-hal]: [273]
[init.svc_debug_pid.vendor.bluetooth-1-0]: [274]
[init.svc_debug_pid.vendor.camera-provider-2-4]: [276]
[init.svc_debug_pid.vendor.camera-provider-2-4-ext]: [275]
[init.svc_debug_pid.vendor.gatekeeper-1-0]: [277]
[init.svc_debug_pid.vendor.gralloc-4-0]: [211]
[init.svc_debug_pid.vendor.hwcomposer-2-1]: [221]
[init.svc_debug_pid.vendor.insmod_sh]: []
[init.svc_debug_pid.vendor.keymint-default]: [137]
[init.svc_debug_pid.vendor.light-rockchip]: [286]
[init.svc_debug_pid.vendor.media.omx]: [336]
[init.svc_debug_pid.vendor.move_data_sh]: []
[init.svc_debug_pid.vendor.power-aidl-rockchip]: [289]
[init.svc_debug_pid.vendor.rockit-hal-1-0]: [291]
[init.svc_debug_pid.vendor.sensors-hal-1-0]: [283]
[init.svc_debug_pid.vendor.weaver-hal-1-0]: [284]
[init.svc_debug_pid.vendor.wifi_hal_legacy]: [285]
[init.svc_debug_pid.vendor_flash_recovery]: []
[init.svc_debug_pid.vndservicemanager]: [134]
[init.svc_debug_pid.vold]: [138]
[init.svc_debug_pid.wificond]: [335]
[init.svc_debug_pid.wpa_supplicant]: [592]
[init.svc_debug_pid.zygote]: [268]
[keyguard.no_require_sim]: [true]
[keystore.boot_level]: [1000000000]
[keystore.crash_count]: [0]
[khungtask.enable]: [false]
[llk.enable]: [false]
[log.tag.APM_AudioPolicyManager]: [D]
[log.tag.stats_log]: [I]
[logd.logpersistd]: []
[logd.logpersistd.buffer]: []
[logd.logpersistd.enable]: [true]
[net.bt.name]: [Android]
[net.qtaguid_enabled]: [1]
[net.tcp_def_init_rwnd]: [60]
[odsign.key.done]: [1]
[odsign.verification.done]: [1]
[odsign.verification.success]: [0]
[persist.adb.tcp.port]: [3268]
[persist.adb.wifi.guid=[REDACTED_ID]
[persist.bluetooth.btsnoopdefaultmode]: []
[persist.bluetooth.btsnoopenable]: [false]
[persist.bluetooth.btsnooppath]: [/sdcard/btsnoop_hci.cfa]
[persist.bluetooth.btsnoopsize]: [0xffff]
[persist.bluetooth.rtkcoex]: [true]
[persist.daemon12138_switch]: [0]
[persist.dbg.keep_debugfs_mounted]: [1]
[persist.debug.dalvik.vm.core_platform_api_policy]: [just-warn]
[persist.device_config.attempted_boot_count]: [0]
[persist.enable_task_snapshots]: [false]
[persist.internet_adb_enable]: [1]
[persist.logd.logpersistd]: []
[persist.logd.logpersistd.buffer]: []
[persist.logd.size]: []
[persist.netd.stable_secret=[REDACTED_SECRET]
[persist.quickshare.register]: [true]
[persist.service.bdroid.bdaddr]: [[REDACTED_MAC]]
[persist.sys.audio.enforce_safevolume]: [false]
[persist.sys.boot.reason]: []
[persist.sys.boot.reason.history]: [reboot,fastboot,12
reboot,fastboot,17
reboot,14
reboot,userrequested,recovery,17]
[persist.sys.bootvideo.enable]: [true]
[persist.sys.bootvideo.showtime]: [-2]
[persist.sys.country]: []
[persist.sys.dalvik.vm.lib.2]: [libart.so]
[persist.sys.device_provisioned]: [1]
[persist.sys.displayinset.top]: [0]
[persist.sys.fuse]: [true]
[persist.sys.hwrotation]: [0]
[persist.sys.hwrotation.txcz]: [0]
[persist.sys.isflip.h]: [0]
[persist.sys.isflip.h.txcz]: [0]
[persist.sys.isflip.v]: [0]
[persist.sys.isflip.v.txcz]: [0]
[persist.sys.keystone.boot_effect]: [1]
[persist.sys.keystone.disable]: [0]
[persist.sys.keystone.display.id]: [0]
[persist.sys.keystone.lb]: [106,64]
[persist.sys.keystone.lb.init.xy]: [96,54]
[persist.sys.keystone.lb.xy]: [0,0]
[persist.sys.keystone.log]: [0]
[persist.sys.keystone.lt]: [121,-79]
[persist.sys.keystone.lt.init.xy]: [96,-54]
[persist.sys.keystone.lt.xy]: [0,0]
[persist.sys.keystone.mirror_x]: [0]
[persist.sys.keystone.rb]: [-96,54]
[persist.sys.keystone.rb.init.xy]: [-96,54]
[persist.sys.keystone.rb.xy]: [0,0]
[persist.sys.keystone.rt]: [-111,-69]
[persist.sys.keystone.rt.init.xy]: [-96,-54]
[persist.sys.keystone.rt.xy]: [0,0]
[persist.sys.keystone.update]: [0]
[persist.sys.keystone.version]: [v5.1]
[persist.sys.language]: []
[persist.sys.lmk.reportkills]: [true]
[persist.sys.locale]: [en-US]
[persist.sys.localevar]: []
[persist.sys.media.avsync]: [true]
[persist.sys.mirror_x.txcz]: [0]
[persist.sys.mirror_y.txcz]: [0]
[persist.sys.sence.count]: [20]
[persist.sys.strictmode.visual]: [false]
[persist.sys.theme]: [1]
[persist.sys.timezone]: [GMT]
[persist.sys.txcz.adopen1]: [21]
[persist.sys.txcz.auto.bt]: [1]
[persist.sys.txcz.bt]: [0]
[persist.sys.txcz.buildmodel]: [HY300]
[persist.sys.txcz.devicename]: [HY300]
[persist.sys.txcz.dscale]: [100]
[persist.sys.txcz.nfmouse]: [1]
[persist.sys.txcz.rom.path]: [/data]
[persist.sys.txcz.zhuce]: [5AD09862A216126DBC31ED6BB643A5AA]
[persist.sys.usb.config]: [adb]
[persist.sys.zram_enabled]: [1]
[persist.tegra.nvmmlite]: [1]
[persist.traced.enable]: [1]
[persist.txcz.boot.enable]: [1]
[persist.txcz.hdmi.node]: [/dev/v4l-subdev2]
[persist.txcz.install.model]: [0]
[persist.txcz.kge.enable]: [0]
[persist.txcz.screen.height]: [720]
[persist.txcz.screen.ratio]: [0]
[persist.txcz.screen.width]: [1280]
[persist.txcz.set.banben]: [12.0]
[persist.txcz.trapezoid.mode]: [1]
[persist.txcz.trapezoid.offsetx]: [15]
[persist.txcz.trapezoid.offsety]: [-10]
[persist.txcz.trapezoid.zoom]: [85]
[persist.txcz.tt.diffPix]: [3.5]
[persist.txcz.tt.display]: [1]
[persist.txcz.tt.enable]: [0]
[persist.txcz.tt.preAngle]: [7]
[persist.vendor.brightness.main]: [50]
[persist.vendor.camera.debug.logfile]: [0]
[persist.vendor.color.main]: [Auto]
[persist.vendor.contrast.main]: [50]
[persist.vendor.framebuffer.main]: [1280x720@60]
[persist.vendor.hue.main]: [50]
[persist.vendor.overscan.main]: [overscan 100,100,100,100]
[persist.vendor.resolution.main]: [Auto]
[persist.vendor.rk_vulkan]: [true]
[persist.vendor.rkpq.config.path]: [/vendor/etc/pq_ui.json]
[persist.vendor.saturation.main]: [50]
[persist.vendor.sys.hid]: []
[persist.vendor.tvinput.rkpq.mode]: [0]
[persist.vendor.txcz.pq.config.path]: [/vendor/etc/pq_play.json]
[pm.dexopt.ab-ota]: [speed-profile]
[pm.dexopt.bg-dexopt]: [speed-profile]
[pm.dexopt.boot-after-ota]: [verify]
[pm.dexopt.cmdline]: [verify]
[pm.dexopt.downgrade_after_inactive_days]: [30]
[pm.dexopt.first-boot]: [verify]
[pm.dexopt.inactive]: [verify]
[pm.dexopt.install]: [speed-profile]
[pm.dexopt.install-bulk]: [speed-profile]
[pm.dexopt.install-bulk-downgraded]: [verify]
[pm.dexopt.install-bulk-secondary]: [verify]
[pm.dexopt.install-bulk-secondary-downgraded]: [extract]
[pm.dexopt.install-fast]: [skip]
[pm.dexopt.post-boot]: [extract]
[pm.dexopt.shared]: [quicken]
[ril.function.dataonly]: [1]
[rild.libargs]: [-d]
[rild.libpath]: [/system/lib/libril-rk29-dataonly.so]
[ro.actionable_compatible_property.enabled]: [true]
[ro.allow.mock.location]: [0]
[ro.audio.monitorOrientation]: [true]
[ro.baseband]: [N/A]
[ro.bionic.2nd_arch]: []
[ro.bionic.2nd_cpu_variant]: []
[ro.bionic.arch]: [arm]
[ro.bionic.cpu_variant]: [cortex-a53]
[ro.board.platform]: [rk3326]
[ro.boot.baseband]: [N/A]
[ro.boot.boot_devices]: [ff390000.dwmmc,ff3b0000.nandc,ff390000.mmc]
[ro.boot.bootreason]: [reboot,fastboot]
[ro.boot.console]: [ttyFIQ0]
[ro.boot.dtb_idx]: [0]
[ro.boot.dtbo_idx]: [0]
[ro.boot.dynamic_partitions]: [true]
[ro.boot.flash.locked]: [1]
[ro.boot.hardware]: [rk30board]
[ro.boot.mode]: [normal]
[ro.boot.noril]: [true]
[ro.boot.oem_unlocked]: [0]
[ro.boot.selinux]: [permissive]
[ro.boot.serialno=[REDACTED_ID]]
[ro.boot.storagemedia]: [emmc]
[ro.boot.vendor.overlay.theme]: [com.txcz.update.overlay]
[ro.boot.veritymode]: [enforcing]
[ro.boot.vr]: [0]
[ro.boot.wificountrycode]: [CN]
[ro.bootimage.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.bootimage.build.date.utc]: [1764829536]
[ro.bootimage.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.bootimage.build.id]: [SQ3A.220705.003.A1]
[ro.bootimage.build.tags]: [release-keys]
[ro.bootimage.build.type]: [userdebug]
[ro.bootimage.build.version.incremental]: [eng.20251204.142604]
[ro.bootimage.build.version.release]: [12]
[ro.bootimage.build.version.release_or_codename]: [12]
[ro.bootimage.build.version.sdk]: [32]
[ro.bootloader]: [unknown]
[ro.bootmode]: [normal]
[ro.boottime.adbd]: [12528278154]
[ro.boottime.android-hardware-media-c2-hal-1-1]: [11585035643]
[ro.boottime.apexd]: [9100844768]
[ro.boottime.apexd-bootstrap]: [5275750384]
[ro.boottime.apexd-snapshotde]: [10296846222]
[ro.boottime.audioserver]: [11786467955]
[ro.boottime.bootanim]: [7425339183]
[ro.boottime.boringssl_self_test32]: [5534191576]
[ro.boottime.boringssl_self_test32_vendor]: [6071953797]
[ro.boottime.boringssl_self_test_apex32]: [12328244967]
[ro.boottime.bpfloader]: [10643857548]
[ro.boottime.cameraserver]: [12569218533]
[ro.boottime.credstore]: [11795455664]
[ro.boottime.daemon12138]: [48287314496]
[ro.boottime.derive_classpath]: [9871574887]
[ro.boottime.derive_sdk]: [9590961776]
[ro.boottime.drm]: [12546129614]
[ro.boottime.dump_kernel_panic]: [10409056233]
[ro.boottime.gatekeeperd]: [18845412747]
[ro.boottime.gpu]: [11827659167]
[ro.boottime.health-hal-2-1]: [11564163974]
[ro.boottime.hidl_memory]: [11468816089]
[ro.boottime.hwservicemanager]: [6664208107]
[ro.boottime.idmap2d]: [12578484784]
[ro.boottime.incidentd]: [12586539160]
[ro.boottime.init]: [3617199092]
[ro.boottime.init.cold_boot_wait]: [335]
[ro.boottime.init.first_stage]: [604984394]
[ro.boottime.init.fsck.cache]: [214]
[ro.boottime.init.fsck.cust]: [70]
[ro.boottime.init.fsck.data]: [236]
[ro.boottime.init.fsck.logo]: [66]
[ro.boottime.init.mount.cache]: [7]
[ro.boottime.init.mount.cust]: [6]
[ro.boottime.init.mount.data]: [39]
[ro.boottime.init.mount.logo]: [5]
[ro.boottime.init.mount_all.early]: [453]
[ro.boottime.init.mount_all.late]: [441]
[ro.boottime.init.selinux]: [439424169]
[ro.boottime.installd]: [12597897536]
[ro.boottime.keystore2]: [7323328173]
[ro.boottime.lmkd]: [6646306480]
[ro.boottime.logd]: [6636627229]
[ro.boottime.logd-auditctl]: [48271388620]
[ro.boottime.logd-reinit]: [10477990198]
[ro.boottime.mdnsd]: [18835948163]
[ro.boottime.media]: [12671248502]
[ro.boottime.media.swcodec]: [12815950183]
[ro.boottime.mediaextractor]: [12632693665]
[ro.boottime.mediametrics]: [12661363334]
[ro.boottime.netd]: [11342937702]
[ro.boottime.odsign]: [10176564918]
[ro.boottime.preinstall]: [49028583946]
[ro.boottime.rockchip.drmservice]: [12734919342]
[ro.boottime.rockchip_udc_detector]: [6742626490]
[ro.boottime.servicemanager]: [6655283397]
[ro.boottime.statsd]: [11332527242]
[ro.boottime.storaged]: [12683094253]
[ro.boottime.surfaceflinger]: [7417518724]
[ro.boottime.system_suspend]: [7315297714]
[ro.boottime.tee-supplicant]: [7306620046]
[ro.boottime.testgamma]: [47811645198]
[ro.boottime.tombstoned]: [8262713392]
[ro.boottime.ueventd]: [5268062633]
[ro.boottime.up_eth0]: [12560486032]
[ro.boottime.usbd]: [18859618082]
[ro.boottime.vendor.audio-hal]: [11476777424]
[ro.boottime.vendor.bluetooth-1-0]: [11486492841]
[ro.boottime.vendor.camera-provider-2-4]: [11523034595]
[ro.boottime.vendor.camera-provider-2-4-ext]: [11501906551]
[ro.boottime.vendor.gatekeeper-1-0]: [11538649263]
[ro.boottime.vendor.gralloc-4-0]: [9320918957]
[ro.boottime.vendor.hwcomposer-2-1]: [9688556661]
[ro.boottime.vendor.insmod_sh]: [5829710023]
[ro.boottime.vendor.keymint-default]: [6687753776]
[ro.boottime.vendor.light-rockchip]: [11683926694]
[ro.boottime.vendor.media.omx]: [12719613840]
[ro.boottime.vendor.move_data_sh]: [18931053673]
[ro.boottime.vendor.power-aidl-rockchip]: [11716264073]
[ro.boottime.vendor.rockit-hal-1-0]: [11760716994]
[ro.boottime.vendor.sensors-hal-1-0]: [11610191895]
[ro.boottime.vendor.weaver-hal-1-0]: [11640738732]
[ro.boottime.vendor.wifi_hal_legacy]: [11653945983]
[ro.boottime.vendor_flash_recovery]: [12746893718]
[ro.boottime.vndservicemanager]: [6672166524]
[ro.boottime.vold]: [6734418697]
[ro.boottime.wificond]: [12710079547]
[ro.boottime.wpa_supplicant]: [44006300441]
[ro.boottime.zygote]: [11351636078]
[ro.bt.bdaddr_path]: [/data/misc/bluetooth/bdaddr]
[ro.build.characteristics]: [tablet]
[ro.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.build.date.utc]: [1764829536]
[ro.build.description]: [rk3326_sgo-userdebug 12 SQ3A.220705.003.A1 eng.20251204.142604 release-keys]
[ro.build.display.id]: [rk3326_sgo-userdebug 12 SQ3A.220705.003.A1 eng.20251204.142604 release-keys]
[ro.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/eng.20251204.142604:userdebug/release-keys]
[ro.build.flavor]: [rk3326_sgo-userdebug]
[ro.build.host]: [txczhost2]
[ro.build.id]: [SQ3A.220705.003.A1]
[ro.build.product]: [rk3326_sgo]
[ro.build.shutdown_timeout]: [6000]
[ro.build.tags]: [release-keys]
[ro.build.txcz.fingerprint]: [YYZK-GAME-327_eng.20251204.142604-V1.0]
[ro.build.type]: [userdebug]
[ro.build.user]: [txcz]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: []
[ro.build.version.codename]: [REL]
[ro.build.version.incremental]: [eng.20251204.142604]
[ro.build.version.min_supported_target_sdk]: [23]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.preview_sdk_fingerprint]: [REL]
[ro.build.version.release]: [12]
[ro.build.version.release_or_codename]: [12]
[ro.build.version.sdk]: [32]
[ro.build.version.security_patch]: [2022-07-05]
[ro.cold_boot_done]: [true]
[ro.com.android.dataroaming]: [true]
[ro.config.enable.remotecontrol]: [false]
[ro.config.low_ram]: [true]
[ro.config.per_app_memcg]: [false]
[ro.crypto.state]: [encrypted]
[ro.crypto.type]: [file]
[ro.crypto.uses_fs_ioc_add_encryption_key]: [true]
[ro.dalvik.vm.native.bridge]: [0]
[ro.debuggable]: [1]
[ro.default.size]: [100]
[ro.enable_boot_charger_mode]: [0]
[ro.factory.hasGPS]: [false]
[ro.factory.hasUMS]: [false]
[ro.factory.storage_suppexfat]: [true]
[ro.factory.storage_suppntfs]: [true]
[ro.factory.tool]: [0]
[ro.factory.without_battery]: [false]
[ro.flash_img.enable]: [false]
[ro.fota.app]: [5]
[ro.fota.battery]: [0]
[ro.fota.device]: [rk3566_sgo]
[ro.fota.display]: [2]
[ro.fota.id]: [mac]
[ro.fota.no_touch]: [1]
[ro.fota.oem]: [txcz_RK356X_12.0]
[ro.fota.platform]: [RK_12.0]
[ro.fota.screen]: [1]
[ro.fota.type]: [box]
[ro.fota.version]: [rk3326_sgo-userdebug 12 SQ3A.220705.003.A1 eng.20251204.142604 release-keys_20251204-1427]
[ro.gsid.image_running]: [0]
[ro.hardware]: [rk30board]
[ro.hardware.egl]: [mali]
[ro.hwui.use_vulkan]: []
[ro.incremental.enable]: [module:/vendor/lib/modules/incrementalfs.ko]
[ro.iorapd.enable]: [true]
[ro.kernel.android.checkjni]: [0]
[ro.kernel.version]: [4.19]
[ro.llk.enable]: [false]
[ro.lmk.critical_upgrade]: [true]
[ro.lmk.downgrade_pressure]: [60]
[ro.lmk.kill_heaviest_task]: [false]
[ro.lmk.thrashing_limit]: [20]
[ro.lmk.upgrade_pressure]: [40]
[ro.lmk.use_minfree_levels]: [false]
[ro.lmk.use_psi]: [true]
[ro.logd.kernel]: [1]
[ro.logd.size.stats]: [64K]
[ro.mem_optimise.enable]: [true]
[ro.minui.default_rotation]: [ORIENTATION_270]
[ro.minui.pixel_format]: [RGBX_8888]
[ro.odm.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.odm.build.date.utc]: [1764829536]
[ro.odm.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.odm.build.id]: [SQ3A.220705.003.A1]
[ro.odm.build.tags]: [release-keys]
[ro.odm.build.type]: [userdebug]
[ro.odm.build.version.incremental]: [eng.20251204.142604]
[ro.odm.build.version.release]: [12]
[ro.odm.build.version.release_or_codename]: [12]
[ro.odm.build.version.sdk]: [32]
[ro.odm.product.cpu.abilist]: [armeabi-v7a,armeabi]
[ro.odm.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.odm.product.cpu.abilist64]: []
[ro.odm_dlkm.build.date]: [Thu Dec  4 14:25:36 CST 2025]
[ro.odm_dlkm.build.date.utc]: [1764829536]
[ro.odm_dlkm.build.fingerprint]: [Google/rk3326_sgo/rk3326_sgo:12/SQ3A.220705.003.A1/txcz12041425:userdebug/release-keys]
[ro.odm_dlkm.build.id]: [SQ3A.220705.003.A1]
[ro.odm_dlkm.build.tags]: [release-keys]
[ro.odm_dlkm.build.type]: [userdebug]
[ro.odm_dlkm.build.version.incremental]: [eng.20251204.142604]
[ro.odm_dlkm.build.version.release]: [12]
[ro.odm_dlkm.build.version.release_or_codename]: [12]
[ro.odm_dlkm.build.version.sdk]: [32]
[ro.oem_unlock_supported]: [1]
[ro.opengles.version]: [196610]
[ro.organization_owned]: [false]
[ro.persistent_properties.ready]: [true]
[ro.postinstall.fstab.prefix]: [/system]
[ro.product.board]: [rk30sdk]
[ro.product.bootimage.brand]: [Google]
